Dorsal.scute,C4A
6.38,2.27
6.72,2.72
7.01,2.35
7.09,2.12
7.1,2.42
7.11,2.13
7.13,1.91
7.17,2.74
7.25,2.45
7.29,3.58
7.34,3.51
7.41,2.7
7.48,4.32
7.57,5.52
7.71,2.83
7.72,4.56
7.76,5.5
7.77,4.77
7.91,3.19
7.93,3.39
7.93,3.64
8.01,4.8
8.04,7.33
8.07,6.26
8.1,5.41
8.1,6.74
8.12,4.07
8.14,4.37
8.2,4.14
8.3,7.37
8.45,7.69
8.58,9.5
8.59,7.52
8.6,7.65
8.72,7.65
8.75,6.38
8.75,7.84
8.78,8.4
8.79,7.01
8.93,6.96
8.97,7.42
8.98,8.96
9.04,8.62
9.06,8.56
9.12,7.69
9.13,9.4
9.24,9.69
9.25,6.38
9.34,9.16
9.34,8
9.46,8.59
9.54,9.15
9.62,9.12
9.62,6.74
9.66,8.01
9.67,9.17
9.77,8.58
9.79,9.46
9.89,9.62
10.36,9.51
