sex,shield.l,femur1,femur2,femur3,femur4,left.tusk,right.tusk,morph,Id,foto,betweeneyes,spineCoxa,Notes
male,0.998,0.999,1.954,1.487,1.973,0.414,0.386,major,1,6161,0.251,0.125,
male,0.757,0.854,1.722,1.33,1.735,0.048,0.045,minor,2,6162,,0.12,
female,0.796,0.842,1.721,1.316,1.732,,,female,4,6164,0.2,0.111,
female,0.772,0.884,1.766,1.336,1.756,,,female,7,6169,0.199,0.115,
male,0.891,0.934,1.917,1.463,1.883,0.227,0.234,minor,5,6165,0.223,0.118,
female,0.736,0.844,1.674,1.275,1.671,,,female,25000,6493,0.2,0.115,
female,0.778,0.79,1.568,1.205,1.578,,,female,9,6171,0.19,0.116,
female,0.703,0.841,1.689,1.276,1.726,,,female,76000,6673,0.197,0.116,
female,0.728,0.805,1.583,1.224,1.644,,,female,90000,6689,0.19,0.116,
female,0.803,0.893,1.788,1.354,1.789,,,female,107,6286,0.194,0.118,
female,0.764,0.78,1.55,1.207,1.589,,,female,11000,6478,0.19,0.118,
female,0.785,0.89,1.839,1.382,1.799,,,female,11,6173,0.211,0.12,
female,0.83,0.838,1.738,1.302,1.73,,,female,63,6234,0.192,0.121,
female,0.819,0.871,1.78,1.349,1.765,,,female,65,6236,,0.121,
male,0.84,0.866,1.74,1.311,1.744,0.086,0.081,minor,15,6178,,0.097,
female,0.78,0.829,1.73,1.308,1.744,,,female,111,6291,,0.121,
female,0.794,0.813,1.598,1.219,1.602,,,female,19,6185,0.198,0.122,
male,0.837,0.943,1.886,1.459,1.881,0.104,0.113,minor,18,6184,0.229,0.115,
female,0.724,0.859,1.682,1.292,1.704,,,female,23,6189,0.21,0.123,
male,0.816,0.871,1.739,1.337,1.741,0.088,0.082,minor,20,6186,0.218,0.104,
female,0.828,0.884,1.69,1.329,1.739,,,female,120,6300,0.225,0.123,recem esticado
female,0.734,0.85,1.681,1.278,1.714,,,female,10,6172,0.192,0.124,
female,0.821,0.851,1.71,1.282,1.711,,,female,109,6289,,0.124,
female,0.756,0.877,1.735,1.312,1.711,,,female,16,6181,0.206,0.125,
male,1.022,1.014,2.021,1.545,1.999,0.436,0.446,major,25,6191,0.269,0.145,
female,0.832,0.891,1.764,1.337,1.74,,,female,108,6288,0.208,0.125,
male,0.815,0.919,1.849,1.39,1.788,0.127,0.121,minor,27,6193,0.23,0.095,
male,0.975,1.036,2.072,1.611,2.064,0.355,0.354,major,28,6194,0.26,0.163,
female,0.752,0.819,1.671,1.266,1.672,,,female,108000,6714,0.204,0.125,
female,0.777,0.889,1.757,1.339,1.766,,,female,8,6170,0.205,0.126,
female,0.819,0.865,1.748,1.301,1.739,,,female,64,6235,0.197,0.126,
