id,sex,cheli.length,pro.width
M_01,Male,9.18,3.86
M_02,Male,11.85,3.5
M_03,Male,11.61,3.86
M_04,Male,9.2,3.65
M_05,Male,11.99,3.99
M_06,Male,13.8,3.79
M_07,Male,6.09,3.02
M_08,Male,4.07,2.63
M_09,Male,8.35,3.53
M_10,Male,11.76,3.57
M_11,Male,7.64,3.613333333
M_12,Male,7.44,3.89
M_13,Male,11.99,3.91
M_14,Male,5.89,2.803333333
M_15,Male,8.96,3.216666667
M_16,Male,5.406666667,2.536666667
M_17,Male,7.263333333,3.463333333
M_18,Male,11.67333333,4.216666667
M_19,Male,10.82333333,3.893333333
M_20,Male,3.803333333,2.9
M_21,Male,10.99333333,3.81
M_22,Male,11.96,3.643333333
M_23,Male,11.85666667,3.72
M_24,Male,13.36333333,3.87
M_25,Male,11.85,3.693333333
M_26,Male,10.2,3.273333333
M_27,Male,11.30333333,3.503333333
M_28,Male,11.87,3.483333333
M_29,Male,9.98,3.633333333
M_30,Male,11.21333333,4.016666667
M_31,Male,13.17,4.2
M_32,Male,13.40333333,4.183333333
M_33,Male,11.67333333,3.703333333
M_34,Male,7.646666667,3.706666667
M_35,Male,4.196666667,2.733333333
M_36,Male,4.226666667,2.683333333
M_37,Male,6.776666667,3.003333333
M_38,Male,6.026666667,3.246666667
M_39,Male,3.523333333,3.16
M_40,Male,8.423333333,3.76
M_41,Male,10.17666667,3.546666667
M_42,Male,8.293333333,3.153333333
M_43,Male,6.473333333,3.136666667
M_44,Male,5.996666667,2.663333333
M_45,Male,11.01666667,3.813333333
M_46,Male,12.41333333,3.953333333
M_47,Male,11.32333333,3.506666667
M_48,Male,11.29,3.716666667
M_49,Male,5.47,3.276666667
M_50,Male,10.33,3.306666667
M_51,Male,14.27666667,4.126666667
M_52,Male,12.65333333,4.193333333
M_53,Male,10.44333333,3.353333333
M_54,Male,4.74,2.79
M_55,Male,11.35,3.423333333
M_56,Male,10.4,3.776666667
M_57,Male,13.43666667,3.903333333
M_58,Male,5.903333333,2.833333333
M_59,Male,8.553333333,3.733333333
M_60,Male,11.58,3.63
M_61,Male,11.68333333,3.893333333
M_62,Male,6.09,2.71
M_63,Male,12.58333333,3.193333333
M_64,Male,6.993333333,3.423333333
M_65,Male,8.496666667,3.223333333
M_66,Male,5.676666667,2.87
M_67,Male,5.676666667,2.87
M_68,Male,8.46,3.183333333
M_69,Male,9.76,3.163333333
M_70,Male,10.83333333,3.516666667
M_71,Male,10.83333333,3.963333333
M_72,Male,12.05,3.806666667
M_73,Male,14.13,3.656666667
M_74,Male,10.97,2.926666667
M_75,Male,13.32,3.866666667
M_76,Male,10.88666667,3.64
M_77,Male,10.53,3.246666667
M_78,Male,12.64666667,3.943333333
M_79,Male,11.53333333,3.76
M_80,Male,11.51666667,3.496666667
M_81,Male,12.76333333,3.903333333
M_82,Male,12.05,3.663333333
M_83,Male,12.44,3.676666667
M_84,Male,12.31,3.733333333
M_85,Male,11.3,3.563333333
M_86,Male,5.856666667,2.963333333
M_87,Male,11.43,3.74
M_88,Male,7.97,3.85
M_89,Male,7.74,3.75
M_90,Male,10.42,2.82
M_91,Male,11.35333333,3.786666667
M_92,Male,8.463333333,3.51
M_93,Male,3.223333333,2.603333333
M_94,Male,5.803333333,2.743333333
M_95,Male,10.76,3.803333333
M_96,Male,14.44,3.66
M_97,Male,8.423333333,3.956666667
M_98,Male,12.95,3.923333333
M_99,Male,12.10333333,3.833333333
M_100,Male,12.86333333,4.353333333
M_101,Male,7.65,3.18
M_102,Male,8.936666667,3.813333333
M_103,Male,11.18333333,3.41
M_104,Male,3.96,2.443333333
M_105,Male,11.51666667,3.546666667
M_106,Male,10.41666667,3.223333333
M_107,Male,9.886666667,2.996666667
M_108,Male,7.796666667,3.016666667
M_109,Male,13.40333333,3.79
M_110,Male,10.78666667,3.62
M_111,Male,11.33333333,3.54
M_112,Male,13.39333333,3.556666667
M_113,M,11.55,3.08
M_114,M,5.33,2.2
M_115,M,9.56,3.22
M_116,M,9.5,2.63
M_117,M,7.66,2.37
M_118,M,11.83,3.03
M_119,M,7.86,3.15
M_120,M,12.02,3.38
M_121,M,8.64,2.93
